#separator:comma
#html:true
#tags column:5
#columns:Learnable,Definition,Audio,Images,Level tags
"كِتابٌ","livre","[sound:ataalamou-larabia-2_5718209c_246755134_200504_0552_46.mp3]",<img src='ataalamou-larabia-2_5718209c_246755134_200507_0548_29.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"كَريمٌ","noble","[sound:ataalamou-larabia-2_5718209c_246755135_200504_0552_51.mp3]",<img src='ataalamou-larabia-2_5718209c_246755135_200507_0600_50.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"عَدُوٌّ","ennemi","[sound:ataalamou-larabia-2_5718209c_246755136_200504_0552_55.mp3]",<img src='ataalamou-larabia-2_5718209c_246755136_200507_0559_25.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"رَجيمٌ","lapidé, maudit","[sound:ataalamou-larabia-2_5718209c_246755137_200504_0552_59.mp3]",<img src='ataalamou-larabia-2_5718209c_246755137_200507_0559_35.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"رَبٌّ","seigneur","[sound:ataalamou-larabia-2_5718209c_246755138_200504_0553_07.mp3]",<img src='ataalamou-larabia-2_5718209c_246755138_200507_0559_48.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"سَأَلَ","demander","[sound:ataalamou-larabia-2_5718209c_246755139_200504_0553_11.mp3]",<img src='ataalamou-larabia-2_5718209c_246755139_200507_0600_00.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"إِلـهٌ","dieu","[sound:ataalamou-larabia-2_5718209c_246755140_200504_0553_15.mp3]",<img src='ataalamou-larabia-2_5718209c_246755140_200507_0600_12.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"إِنْسانٌ","être humain","[sound:ataalamou-larabia-2_5718209c_246755141_200504_0553_20.mp3]",<img src='ataalamou-larabia-2_5718209c_246755141_200507_0600_21.png'>,"Ataalamou_l'arabia_(2)::01_Leçon_1"
"أَصْبَحَ","devenir","[sound:ataalamou-larabia-2_5718209c_246755399_200504_0553_28.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"كَلامٌ","parole","[sound:ataalamou-larabia-2_5718209c_246755400_200504_0553_33.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"حَرْفٌ","lettre","[sound:ataalamou-larabia-2_5718209c_246755401_200504_0553_45.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"يَعْرِفُ","savoir","[sound:ataalamou-larabia-2_5718209c_246755402_200504_0553_51.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"هَلْ","est-ce que","[sound:ataalamou-larabia-2_5718209c_246755403_200504_0553_55.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"لُغَةٌ","langue","[sound:ataalamou-larabia-2_5718209c_246755404_200504_0553_59.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"عَرَبِيٌّ","arabe","[sound:ataalamou-larabia-2_5718209c_246755406_200504_0554_10.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"جَميلٌ","beau","[sound:ataalamou-larabia-2_5718209c_246755407_200504_0554_21.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"قَرَأَ","lire","[sound:ataalamou-larabia-2_5718209c_246755408_200504_0554_28.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"لِسانٌ","langue","[sound:ataalamou-larabia-2_5718209c_246755409_200504_0554_34.mp3]",,"Ataalamou_l'arabia_(2)::02_Leçon_2"
"وَجَدَ","trouver","[sound:ataalamou-larabia-2_5718209c_246755471_200504_0554_57.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"عَدَدٌ","nombre","[sound:ataalamou-larabia-2_5718209c_246755472_200504_0555_03.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"مَرَّةً","fois","[sound:ataalamou-larabia-2_5718209c_246755473_200504_0555_10.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"أَخيراً","à la fin","[sound:ataalamou-larabia-2_5718209c_246755474_200504_0555_21.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"مَشْيٌ","marche","[sound:ataalamou-larabia-2_5718209c_246755475_200504_0555_27.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"صَحيحٌ","vrai, bon","[sound:ataalamou-larabia-2_5718209c_246755476_200504_0555_36.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"اشْتَرى","acheter","[sound:ataalamou-larabia-2_5718209c_246755477_200504_0555_42.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"حِمارٌ/حَميرٌ","âne/s","[sound:ataalamou-larabia-2_5718209c_246755478_200504_0555_48.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"سوقٌ","marché","[sound:ataalamou-larabia-2_5718209c_246755479_200504_0555_55.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"طَريقٌ","chemin","[sound:ataalamou-larabia-2_5718209c_246755480_200504_0556_07.mp3]",,"Ataalamou_l'arabia_(2)::03_Leçon_3"
"جِبالٌ","montagnes","[sound:ataalamou-larabia-2_5718209c_246755689_200504_0556_21.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"حَليبٌ","lait","[sound:ataalamou-larabia-2_5718209c_246755690_200504_0556_31.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"نَمْلَةٌ","fourmi","[sound:ataalamou-larabia-2_5718209c_246755691_200504_0556_36.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"طُيورٌ","oiseaux","[sound:ataalamou-larabia-2_5718209c_246755692_200504_0556_40.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"عَسَلٌ","miel","[sound:ataalamou-larabia-2_5718209c_246755693_200504_0556_45.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"نَحْلَةٌ","abeille","[sound:ataalamou-larabia-2_5718209c_246755694_200504_0556_58.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"يَوْمٌ/أَيّامٌ","jour/s","[sound:ataalamou-larabia-2_5718209c_246755695_200504_0557_07.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"وِلادَةٌ","naissance","[sound:ataalamou-larabia-2_5718209c_246755696_200504_0557_15.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"صَغيرٌ(ة)","petit(e)","[sound:ataalamou-larabia-2_5718209c_246755697_200504_0557_23.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"يَجْري","courir","[sound:ataalamou-larabia-2_5718209c_246755698_200504_0557_29.mp3]",,"Ataalamou_l'arabia_(2)::04_Leçon_4"
"بَرْدٌ","froid","[sound:ataalamou-larabia-2_5718209c_246756246_200504_0557_39.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"الآنَ","maintenant","[sound:ataalamou-larabia-2_5718209c_246756248_200504_0557_46.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"سَيّارَةٌ","voiture","[sound:ataalamou-larabia-2_5718209c_246756250_200504_0557_50.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"طائِرَةٌ","avion","[sound:ataalamou-larabia-2_5718209c_246756252_200504_0558_01.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"قِطارٌ","train","[sound:ataalamou-larabia-2_5718209c_246756253_200504_0558_06.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"سَفَرٌ","voyage","[sound:ataalamou-larabia-2_5718209c_246756255_200504_0558_11.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"النّاسُ","les gens","[sound:ataalamou-larabia-2_5718209c_246756257_200504_0558_18.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"زَمانٌ","temps","[sound:ataalamou-larabia-2_5718209c_246756258_200504_0558_26.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"جَمَلٌ","chameau","[sound:ataalamou-larabia-2_5718209c_246756260_200504_0558_34.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"حِصانٌ","cheval","[sound:ataalamou-larabia-2_5718209c_246756262_200504_0558_41.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"شَمْسٌ","soleil","[sound:ataalamou-larabia-2_5718209c_246756263_200504_0558_45.mp3]",,"Ataalamou_l'arabia_(2)::05_Leçon_5"
"يَسْمَعُ","entendre","[sound:ataalamou-larabia-2_5718209c_246756391_200505_0513_36.mp3]",,"Ataalamou_l'arabia_(2)::06_Leçon_6"
