#separator:comma
#html:true
#tags column:4
#columns:Learnable,Definition,Audio,Level tags
"أَدَبٌ","les règles de politesse","[sound:ataalamou-larabia-3_1355469c_130512190_191113_2104_47.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"الأَكْلُ والشُربُ","repas","[sound:ataalamou-larabia-3_1355469c_130512191_191113_2104_56.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"كانَ/يَكونُ","être (imparfait = مُضارِعٌ + كانَ)","[sound:ataalamou-larabia-3_1355469c_130512192_191113_2105_08.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"غُلامٌ","garçon","[sound:ataalamou-larabia-3_1355469c_130512193_191113_2105_16.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"صَغيرٌ/صِغارٌ","petit(s)","[sound:ataalamou-larabia-3_1355469c_130512194_191113_2105_26.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"أُمٌّ/أُمَّهاتٌ","mère(s)","[sound:ataalamou-larabia-3_1355469c_130512195_191113_2105_34.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"ـــهُ/ها","nom+~=son/sa - verbe+~=lui/l'","[sound:ataalamou-larabia-3_1355469c_130512196_191113_2105_47.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"تَزَوَّجَ","épouser","[sound:ataalamou-larabia-3_1355469c_130512197_191113_2106_01.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"بَعْدَ","après","[sound:ataalamou-larabia-3_1355469c_130512198_191113_2111_14.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"وَفاةٌ","mort","[sound:ataalamou-larabia-3_1355469c_130512199_191113_2111_21.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"زَوْجٌ","époux, épouse","[sound:ataalamou-larabia-3_1355469c_130512201_191113_2111_30.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"في حِجْرٍ","être à la charge de...","[sound:ataalamou-larabia-3_1355469c_130512202_191113_2106_47.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"أَكَلَ/يَأْكُلُ","manger","[sound:ataalamou-larabia-3_1355469c_130512203_191113_2106_56.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"كَما","comme","[sound:ataalamou-larabia-3_1355469c_130512204_191113_2107_01.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"وَلَدٌ/أَوْلادٌ","enfant(s)","[sound:ataalamou-larabia-3_1355469c_130512205_191113_2107_09.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"مَعَ","avec","[sound:ataalamou-larabia-3_1355469c_130512206_191113_2107_14.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"يَتيمٌ","orphelin","[sound:ataalamou-larabia-3_1355469c_130512207_191113_2107_29.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"ماتَ/يـَموتُ","mourir","[sound:ataalamou-larabia-3_1355469c_130512208_191113_2107_41.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"أَحَبَّ/يُـحِبُّ","aimer","[sound:ataalamou-larabia-3_1355469c_130512209_191113_2107_47.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"عَلَّمَ/يُعَلِّمُ","enseigner","[sound:ataalamou-larabia-3_1355469c_130512210_191113_2107_58.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"مَرَّةٌ/مَرّاتٌ","fois","[sound:ataalamou-larabia-3_1355469c_130512211_191113_2108_05.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"يَدٌ/أَيْدٍ","main(s)","[sound:ataalamou-larabia-3_1355469c_130512212_191113_2108_13.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"دارَ/يَدورُ","aller d'un endroit à un autre","[sound:ataalamou-larabia-3_1355469c_130512213_191113_2108_19.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"صَحْفَةٌ","assiette","[sound:ataalamou-larabia-3_1355469c_130512214_191113_2108_25.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"مِنْ هُنا وَهُناكَ","de-ci de-là","[sound:ataalamou-larabia-3_1355469c_130512215_191113_2108_38.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"كَثيرٌ","nombreux, beaucoup","[sound:ataalamou-larabia-3_1355469c_130512216_191113_2108_57.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"كَيْفَ","comment","[sound:ataalamou-larabia-3_1355469c_130512217_191113_2109_08.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"كُلُّ شَيْءٍ","toute chose","[sound:ataalamou-larabia-3_1355469c_130512218_191113_2109_22.mp3]","Ataalamou_l'arabia_(3)::01_Tableau_1"
"حَلاّقٌ","coiffeur","[sound:ataalamou-larabia-3_1355469c_130512327_191114_1950_44.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"ذاتَ يَومٍ","un jour","[sound:ataalamou-larabia-3_1355469c_130512328_191114_1950_52.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"قَدْ","certes","[sound:ataalamou-larabia-3_1355469c_130512329_191114_1951_01.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"طالَ/يَطولُ","pousser","[sound:ataalamou-larabia-3_1355469c_130512330_191114_1951_10.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"شَعْرٌ","cheveux","[sound:ataalamou-larabia-3_1355469c_130512331_191114_1951_15.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"رَأْسٌ","tête","[sound:ataalamou-larabia-3_1355469c_130512332_191114_1951_21.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"عَلَيْكَ","il faut que tu","[sound:ataalamou-larabia-3_1355469c_130512333_191114_1951_29.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"ذَهَبَ/يَذْهَبُ","aller","[sound:ataalamou-larabia-3_1355469c_130512334_191114_1951_32.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"عِنْدَ","chez/au moment de","[sound:ataalamou-larabia-3_1355469c_130512335_191114_1951_38.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"رافَقَ/يُرافِقُ","accompagner","[sound:ataalamou-larabia-3_1355469c_130512336_191114_1951_42.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"عَرَفَ/يَعْرِفُ","connaître","[sound:ataalamou-larabia-3_1355469c_130512337_191114_1955_55.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"رَحَّبَ/يُرَحِّبُ","accueillir","[sound:ataalamou-larabia-3_1355469c_130512338_200328_1559_19.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"جَلَسَ/يَجْلِسُ","s’asseoir","[sound:ataalamou-larabia-3_1355469c_130512339_191114_1952_10.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"انْتَظَرَ/يَنْتَظِرُ","attendre","[sound:ataalamou-larabia-3_1355469c_130512340_191114_1952_15.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"دَوْرٌ","tour","[sound:ataalamou-larabia-3_1355469c_130512341_191114_1952_26.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"أَخَذَ/يَأْخُذُ","أَخَذَ + مُضارعٌ = commencer","[sound:ataalamou-larabia-3_1355469c_130512342_191114_1952_31.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"قَالَ/يَقُولُ","dire","[sound:ataalamou-larabia-3_tableau2_dire.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"أَجالَ/يُـجيلُ","promener","[sound:ataalamou-larabia-3_1355469c_130512343_191114_1952_40.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"أَنْـحاءٌ","de tous côtés","[sound:ataalamou-larabia-3_1355469c_130512344_191114_1952_49.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"بَصَرٌ","regard","[sound:ataalamou-larabia-3_1355469c_130512345_191114_1953_32.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
"دُكّانٌ","magasin","[sound:ataalamou-larabia-3_1355469c_130512346_191114_1953_38.mp3]","Ataalamou_l'arabia_(3)::02_Tableau_2"
