#separator:comma
#html:true
#tags column:4
#columns:Learnable,Definition,Audio,Level tags
"آزَرُ","Aazar","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931910_191117_1622_03.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"اسْمٌ/أَسْماءٌ","nom(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931911_191117_1622_16.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"باعَ/يَبيعُ","vendre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931912_191117_1622_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"بائِعٌ","vendeur","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931913_191117_1622_30.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"بَيْتٌ /بُيوتٌ","maison(s), demeure(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931914_191117_1622_39.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"جِدّاً","très, beaucoup","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931915_191117_1622_44.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"رَجُلٌ/رِجالٌ","homme(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931916_191117_1622_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"سَجَدَ/يَسْجُدُ","se prosterner","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931917_191117_1623_03.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"صَنَمٌ/أَصْنامٌ","idole(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931918_191117_1623_09.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"عَبَدَ/يَعْبُدُ","adorer","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931919_191117_1623_16.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"في","dans","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931920_191117_1623_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"قَبْل","avant","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931921_191117_1623_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"قَرْيَةٌ/قُرًى","village(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931922_191117_1623_59.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"كانَ/يَكونُ","être","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931923_191117_1624_09.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"كَبيرٌ","grand","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931924_191117_1624_21.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"كَثيرٌ","nombreux","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931925_191117_1624_35.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"كَسَرَ/يَكْسِرُ","casser","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931926_191117_1624_43.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"لِ","pour","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931928_191117_1624_50.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"مَشْهورٌ","connu, célèbre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931929_191117_1624_59.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"مَنْ","qui","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931930_191117_1625_12.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"ناسٌ","gens","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931931_191117_1625_25.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"هذا/هذِهِ","ce,(cet)\cette","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931932_191117_1625_34.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"وَ","et, alors que","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931933_191117_1625_41.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"يَوْمٌ/أَيّامٌ","jour","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129931934_191117_1625_49.mp3]","Qissas_an-nabiyîn_(3ème_année)::01_Tableau_1"
"إبْراهيمُ","Ibrahim","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932004_191117_1733_27.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"أَكَلَ/يَأْكُلُ","manger","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932006_191117_1733_39.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"أَنَّ","que","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932007_191117_1734_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"تَكَلَّمَ/يَتَكَلَّمُ","parler","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932011_191117_1734_21.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"جَلَسَ/يَجْلِسُ","s’asseoir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932013_191117_1734_42.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"حِجارَة/حَجَرٌ/أَحْجارٌ","pierre(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932015_191117_1734_54.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"دَفَعَ/يَدْفَعُ","repousser","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932017_191117_1735_08.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"ذُبابَةٌ/ ذُبابٌ","mouche","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932019_191117_1735_17.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"رَأى/يَرى","voir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932021_191117_1735_31.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"رَشيدٌ","bien guidé","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932022_191117_1735_37.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"سَأَلَ/يَسْأَلُ","interroger","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932024_191117_1735_56.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"سَمِعَ/يَسْمَعُ","écouter","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932025_191117_1736_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"ضَرَّ/يَضُرُّ","causer du tort","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932026_191117_1736_16.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"طَعامٌ","nourriture","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932027_191117_1736_25.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"عَرَفَ/يَعْرِفُ","savoir","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932028_191117_1736_36.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"عَلى","sur","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932029_191117_1736_49.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"فَ","et","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932030_191117_1737_00.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"فَأْرٌ/فِئْرانٌ","souris","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932031_191117_1737_14.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"قالَ/يَقولُ","dire","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932032_191117_1737_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"لا","ne pas, (négation)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932033_191117_1737_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"لِماذا","pourquoi","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932034_191117_1737_43.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"لَهُ","à lui","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932035_191117_1738_04.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"مَنَعَ/يَمْنَعُ","interdire","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932036_191117_1738_12.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"نَفْسٌ/نُفوسٌ","esprit(s), âme(s), ici en lui-même","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932037_191117_1738_17.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"نَفَعَ/يَنْفَعُ","être utile","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932038_191117_1738_24.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"وَلَدٌ/أَوْلادٌ","enfant(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932039_191117_1738_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"أَبٌ/آباءٌ","père(s), ancêtres","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932040_191117_1738_40.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"إذا","lorsque","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932041_191117_1738_53.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"أَنا","je, moi","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932042_191117_1739_02.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"حينَئذٍ","alors,  à ce moment-là","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932043_191117_1739_11.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"ذَهَبَ/يَذْهَبُ","aller,  s’en aller","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932044_191117_1739_17.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"شَرابٌ","boisson","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932045_191117_1739_24.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"شَرِبَ/يَشْرَبُ","boire","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932046_191117_1739_32.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"غَضِبَ/يَغْضَبُ","se mettre en colère","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932047_191117_1739_43.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"فَهِمَ/يَفْهَمُ","comprendre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932048_191117_1739_52.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"قَوْمٌ/أقوامٌ","peuple(s), gens","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932049_191117_1740_02.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"لأَيِّ شَيْءٍ","pourquoi","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932050_191117_1740_14.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"نَصَحَ/يَنْصَحُ","conseiller","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932051_191117_1740_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"نَصيحَةٌ/نَصائِحُ","conseil(s)","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932052_191117_1740_33.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"ها","son, sa, ses","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932053_191117_1740_53.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"والِدٌ","père","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932054_191117_1741_01.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"وَضَعَ/يَضَعُ","mettre, poser","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932055_191117_1741_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"ي","mon, ma, mes","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932056_191117_1741_13.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"يا","ô","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932057_191117_1741_20.mp3]","Qissas_an-nabiyîn_(3ème_année)::02_Tableau_2-3"
"أَ","est-ce que ?","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932342_191120_1835_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
"أَخَذَ/يَأْخُذُ","prendre","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932343_191120_1835_43.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
"أَكْبَرُ","plus grand","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932344_191120_1835_52.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
"إلى","vers","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932345_191120_1836_07.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
"بِ","avec","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932346_191120_1836_23.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
"بَقِيَ/يَبْقى","rester","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932347_191120_1836_40.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
"تَرَكَ/يَتْرُكُ","laisser, abandonner","[sound:qissas-an-nabiyin-3eme-annee_1343588c_129932348_191120_1837_19.mp3]","Qissas_an-nabiyîn_(3ème_année)::03_Tableau_4-5"
